pressure	temp	wind_deg	wind_deg_diff
1017	21.3	74	-121.69999999999999
1017	21.4	110	36
1018	21.4	57	-53
1018	21.3	67	10
1018	21.7	71	4
1017	21.8	73	2
1017	21.8	57	-16
1018	22.4	52	-5
1017	21.6	31	-21
1017	21.7	45	14
1017	21.7	13	-32
1017	22.9	19	6
1017	22.9	51	32
1017	22.9	13	-38
1017	23.0	32	19
1017	23.0	39	7
1017	23.0	32	-7
1017	23.0	33	1
1017	23.2	76	43
1017	22.6	91	15
1017	22.6	61	-30
1017	22.4	78	17
1017	22.4	71	-7
1017	22.4	63	-8
1017	23.0	138	75
1017	22.7	57	-81
1017	22.5	72	15
1017	22.1	69	-3
1017	22.0	29	-40
1017	22.0	53	24
1017	22.0	30	-23
1017	21.7	39	9
1017	21.4	54	15
1017	21.4	27	-27
1017	21.2	38	11
1017	21.2	46	8
1017	20.9	38	-8
1017	20.5	31	-7
1017	20.3	33	2
1017	20.1	28	-5
1018	19.6	9	-19
1018	19.2	31	22
1018	19.1	53	22
1018	18.8	44	-9
1018	18.5	22	-22
1018	18.5	47	25
1018	17.9	40	-7
1018	17.7	34	-6
1018	17.8	87	53
1018	17.6	33	-54
1018	17.0	28	-5
1018	17.0	72	44
1018	17.0	70	-2
1018	16.1	30	-40
1018	16.4	34	4
1018	16.3	20	-14
1018	16.1	40	20
1018	16.1	23	-17
1018	15.9	38	15
1018	15.6	34	-4
1018	15.3	9	-25
1018	14.8	26	17
1018	14.7	37	11
1018	14.4	35	-2
1018	14.8	56	21
1018	14.3	45	-11
1018	14.3	13	-32
1018	14.4	23	10
1018	14.1	32	9
1018	14.1	35	3
1018	14.1	41	6
1018	13.9	40	-1
1018	13.9	39	-1
1018	13.9	45	6
1018	13.2	38	-7
1018	13.0	19	-19
1018	13.0	40	21
1019	13.0	5	-35
1018	13.3	29	24
1018	12.8	29	0
1018	12.8	29	0
1018	12.4	14	-15
1018	12.5	29	15
1018	12.5	348	319
1018	11.9	360	12
1018	11.9	355	-5
1018	12.1	28	-327
1018	12.1	28	0
1018	12.2	28	0
1018	12.2	27	-1
1018	12.2	27	0
1018	12.2	38	11
1018	12.4	71	33
1018	12.4	59	-12
1018	12.4	59	0
1018	12.6	88	29
1018	12.8	34	-54
1018	12.7	60	26
1018	12.7	11	-49
1018	13.1	24	13
1018	12.9	11	-13
1018	12.9	30	19
1017	12.7	30	0
1018	12.7	30	0
1017	12.7	11	-19
1017	12.7	30	19
1017	12.7	14	-16
1017	12.7	14	0
1017	12.7	15	1
1017	12.7	5	-10
1017	12.7	33	28
1017	12.7	355	322
1017	12.7	355	0
1018	12.5	15	-340
1018	12.5	344	329
1017	12.7	17	-327
1018	12.6	17	0
1018	12.6	23	6
1018	12.8	74	51
1018	13.6	23	-51
1018	13.4	27	4
1018	13.4	21	-6
1018	13.3	23	2
1018	13.8	24	1
1018	14.4	24	0
1018	14.2	10	-14
1018	14.6	345	335
1018	15.0	11	-334
1018	15.3	349	338
1018	15.3	344	-5
1018	15.5	54	-290
1018	15.2	36	-18
1018	15.5	67	31
1018	15.7	22	-45
1017	16.1	73	51
1017	16.5	67	-6
1017	17.4	49	-18
1017	17.9	61	12
1017	17.8	25	-36
1017	18.2	62	37
1017	18.4	25	-37
1017	19.1	41	16
1017	19.5	104	63
1017	19.5	38	-66
1017	20.2	63	25
1017	20.7	71	8
1017	20.4	355	284
1017	20.6	53	-302
1017	21.4	129	76
1016	21.5	61	-68
1016	21.6	26	-35
1016	22.0	26	0
1016	22.3	72	46
1016	22.7	70	-2
1016	22.9	47	-23
1016	22.7	37	-10
1016	22.9	9	-28
1016	23.1	290	281
1016	23.1	2	-288
1016	23.3	284	282
1016	23.8	338	54
1015	23.4	346	8
1015	23.4	219	-127
1015	23.4	243	24
1015	23.6	338	95
1015	23.5	209	-129
1015	23.4	151	-58
1015	23.6	176	25
1015	23.5	318	142
1015	23.4	209	-109
1015	23.3	318	109
1015	23.1	167	-151
1015	22.8	301	134
1015	22.8	301	0
1015	22.3	167	-134
1015	21.9	167	0
1014	21.9	301	134
1014	21.6	266	-35
1014	21.4	256	-10
1014	20.9	266	10
1014	20.6	256	-10
1014	20.2	256	0
1015	19.4	256	0
1015	19.1	237	-19
1015	18.7	237	0
1015	18.6	237	0
1015	18.0	237	0
1015	17.8	237	0
1014	17.2	237	0
1015	16.9	252	15
1015	16.7	252	0
1015	16.5	252	0
1015	16.3	252	0
1015	16.1	252	0
1015	16.0	252	0
1014	15.7	247	-5
1014	16.1	247	0
1014	15.9	247	0
1015	15.6	247	0
1014	15.2	247	0
1014	15.0	247	0
1014	15.0	230	-17
1014	14.9	230	0
1014	14.9	230	0
1014	14.9	230	0
1014	14.7	230	0
1014	14.7	230	0
1014	14.9	255	25
1014	14.7	255	0
1014	14.7	255	0
1014	14.5	255	0
1014	14.2	255	0
1014	14.1	167	-88
1014	14.1	258	91
1014	13.8	258	0
1014	13.8	258	0
1013	13.6	258	0
1013	13.6	258	0
1013	13.4	258	0
1014	13.9	244	-14
1013	13.2	244	0
1013	13.2	244	0
1013	13.2	244	0
1013	12.9	244	0
1013	12.9	230	-14
1013	13.0	230	0
1013	12.9	230	0
1012	12.5	230	0
1012	12.5	230	0
1012	12.3	230	0
1012	12.2	227	-3
1012	12.2	227	0
1012	12.0	227	0
1012	12.0	227	0
1012	12.0	227	0
1012	12.2	227	0
1012	12.2	230	3
1012	12.2	230	0
1011	12.2	230	0
1011	12.1	230	0
1012	12.1	230	0
1012	11.8	230	0
1011	11.7	222	-8
1011	11.3	222	0
1011	11.3	222	0
1011	11.3	222	0
1011	11.3	222	0
1011	11.3	222	0
1011	11.1	213	-9
1011	11.1	213	0
1011	11.4	215	2
1011	11.4	213	-2
1011	11.7	213	0
1012	12.0	215	2
1011	12.4	206	-9
1011	11.7	206	0
1011	12.3	206	0
1001	12.2	206	0
1010	12.1	206	0
1010	12.1	206	0
1011	14.1	142	-64
1010	13.1	201	59
1010	13.3	187	-14
1010	13.8	190	3
1010	14.3	207	17
